condition,role,judge_n,judge_mean,judge_sd,judge_ci95,hard_violation_numerator,hard_violation_denominator,hard_violation_rate,hard_violation_ci95,needs_evidence_correct,needs_evidence_denominator,needs_evidence_rate,needs_evidence_ci95,critical_error_numerator,critical_error_denominator,critical_error_rate,critical_error_ci95,judge_completed,judge_denominator,judge_coverage_rate,judge_coverage_ci95,invariance_stable,invariance_denominator,invariance_rate,invariance_ci95,selector_fallback_numerator,selector_fallback_denominator,selector_fallback_rate,selector_fallback_ci95
fixed-v2,primary,59,3.7288135593220337,1.2707655644582816,3.404557931205218|4.053069187438849,0,60,0,0|0.06017185214208986,60,60,1,0.93982814785791|0.9999999999999998,1,59,0.01694915254237288,0.0029982339183556445|0.08995725964142297,59,60,0.9833333333333333,0.9114487027240993|0.9970518402052136,22,22,1,0.8513451253913791|1,,,,
full-adaptive-v1,primary,60,3.8833333333333333,1.2768030344186079,3.560263526531496|4.206403140135171,6,60,0.1,0.04664283447388416|0.20149464723978772,60,60,1,0.93982814785791|0.9999999999999998,1,60,0.016666666666666666,0.0029481597947862495|0.08855129727590061,60,60,1,0.93982814785791|0.9999999999999998,22,22,1,0.8513451253913791|1,,,,
llm-next-step-v6,primary,58,3.7413793103448274,1.4211478536804567,3.37563855478379|4.107120065905865,2,60,0.03333333333333333,0.009189319256197877|0.113637742743086,60,60,1,0.93982814785791|0.9999999999999998,4,58,0.06896551724137931,0.027144247017578338|0.1643366631438035,58,60,0.9666666666666667,0.886362257256914|0.9908106807438021,20,22,0.9090909090909091,0.7218505315839417|0.9747045710090046,1,52,0.019230769230769232,0.0034028080709451597|0.10120511127892247
no-history-v1,secondary_ablation,58,3.206896551724138,1.5645034040843153,2.8042624024301466|3.6095307010181292,0,60,0,0|0.06017185214208986,60,60,1,0.93982814785791|0.9999999999999998,7,58,0.1206896551724138,0.059709660482407195|0.22879354045960884,58,60,0.9666666666666667,0.886362257256914|0.9908106807438021,22,22,1,0.8513451253913791|1,,,,
